,name,homepage,github_id,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,image
0,Observable,https://streamlit-observable.herokuapp.com/,asg017/streamlit-observable,extension,True,https://github.com/asg017/streamlit-observable,MIT,2020-07-23 07:56:48,2022-07-16 09:29:39,2020-10-15 02:21:37,16.0,4.0,1.0,86.0,22.0,Embed Observable notebooks into Streamlit apps!.,32.0,32.0,6.0,11,1.0,
1,D3 Demo,https://github.com/andfanilo/streamlit-d3-demo,andfanilo/streamlit-d3-demo,extension,True,https://github.com/andfanilo/streamlit-d3-demo,MIT,2020-06-01 00:45:11,2020-07-06 17:09:20,2020-07-06 17:05:51,17.0,1.0,1.0,72.0,26.0,D3 in React in Streamlit tech demo.,21.0,21.0,3.0,11,1.0,https://github.com/andfanilo/streamlit-d3-demo/raw/master/images/demo.gif
2,Stocks - SEC Form,https://jiandong-hello-plotly.hf.space/ui,jiandong/hello_plotly,others,True,,,,,,,,,,,,,,,0,,https://raw.githubusercontent.com/weanalyze/best-of-workcell/main/screenshots/stocks-dd-sec.gif
3,Economy - Avalable Indicies,https://jiandong-economy-available-indices.hf.space/ui,jiandong/economy_available_indices,others,True,,,,,,,,,,,,,,,0,,https://raw.githubusercontent.com/weanalyze/best-of-workcell/main/screenshots/economy-available-indices.png
4,Gurobi TSP demo,https://jiandong-gurobi-tsp.hf.space,jiandong/gurobi_tsp,bi,True,,,,,,,,,,,,,,,0,,https://github.com/miclindahl/tsp-streamlit/raw/master/tsp_subtours.gif
5,Huggingface Model Serving,https://jiandong-model-serving-t5.hf.space,jiandong/model_serving_t5,ml,True,,,,,,,,,,,,,,,0,,https://raw.githubusercontent.com/weanalyze/best-of-workcell/main/screenshots/huggingface-model-serving.png
6,Plotly Demo,https://jiandong-hello-plotly.hf.space/ui,jiandong/hello_plotly,extension,True,,,,,,,,,,,,,,,0,,https://raw.githubusercontent.com/weanalyze/best-of-workcell/main/screenshots/hello-plotly.png
